name,group,order,types,description
SDL_RenderTextureTiled,17,570,SDL_Renderer SDL_Texture SDL_FRect float bool,Tile a portion of the texture to the current rendering target at subpixel precision.
SDL_RenderViewportSet,17,543,SDL_Renderer bool,Return whether an explicit rectangle was set as the viewport.
SDL_ReportAssertion,44,1040,SDL_AssertData char int SDL_AssertState,Never call this directly.
SDL_RequestAndroidPermission,47,1085,char SDL_RequestAndroidPermissionCallback bool,"Request permissions at runtime, asynchronously."
SDL_RequestNotificationPermission,35,899,bool,Requests permission from the system to display notifications.
SDL_ResetAssertionReport,44,1045,,Clear the list of all assertion failures.
SDL_ResetHint,1,12,char bool,Reset a hint to the default value.
SDL_ResetHints,1,13,,Reset all hints to the default values.
SDL_ResetKeyboard,8,204,,Clear the state of the keyboard.
SDL_ResetLogPriorities,5,50,,Reset all priorities to default.
SDL_RestoreWindow,6,125,SDL_Window bool,Request that the size and position of a minimized or maximized window be restored.
SDL_ResumeAudioDevice,14,428,SDL_AudioDeviceID bool,Use this function to unpause audio playback on a specified device.
SDL_ResumeAudioStreamDevice,14,459,SDL_AudioStream bool,Use this function to unpause audio playback on the audio device associated with an audio stream.
SDL_ResumeHaptic,13,410,SDL_Haptic bool,Resume a haptic device.
SDL_RotateSurface,27,798,SDL_Surface float,Return a copy of a surface rotated clockwise a number of degrees.
SDL_RumbleGamepad,11,319,SDL_Gamepad Uint16 Uint32 bool,Start a rumble effect on a gamepad.
SDL_RumbleGamepadTriggers,11,320,SDL_Gamepad Uint16 Uint32 bool,Start a rumble effect in the gamepad's triggers.
SDL_RumbleJoystick,12,378,SDL_Joystick Uint16 Uint32 bool,Start a rumble effect.
SDL_RumbleJoystickTriggers,12,379,SDL_Joystick Uint16 Uint32 bool,Start a rumble effect in the joystick's triggers.
SDL_RunHapticEffect,13,403,SDL_Haptic SDL_HapticEffectID Uint32 bool,Run the haptic effect on its associated haptic device.
SDL_RunOnMainThread,0,6,SDL_MainThreadCallback bool,Call a function on the main thread during event processing.
SDL_SaveBMP,27,777,SDL_Surface char bool,Save a surface to a file in BMP format.
SDL_SaveBMP_IO,27,776,SDL_Surface SDL_IOStream bool,Save a surface to a seekable SDL data stream in BMP format.
SDL_SaveFile,23,689,char size_t bool,Save all the data into a file path.
SDL_SaveFile_IO,23,688,SDL_IOStream size_t bool,Save all the data into an SDL data stream.
SDL_SavePNG,27,781,SDL_Surface char bool,Save a surface to a file in PNG format.
SDL_SavePNG_IO,27,780,SDL_Surface SDL_IOStream bool,Save a surface to a seekable SDL data stream in PNG format.
SDL_ScaleSurface,27,800,SDL_Surface int SDL_ScaleMode,"Creates a new surface identical to the existing surface, scaled to the desired size."
SDL_ScreenKeyboardShown,8,222,SDL_Window bool,Check whether the screen keyboard is shown for given window.
SDL_ScreenSaverEnabled,6,156,bool,Check whether the screensaver is currently enabled.
SDL_SeekIO,23,679,SDL_IOStream Sint64 SDL_IOWhence,Seek within an SDL_IOStream data stream.
SDL_SendAndroidBackButton,47,1080,,Trigger the Android system back button behavior.
SDL_SendAndroidMessage,47,1087,Uint32 int bool,Send a user command to SDLActivity.
SDL_SendGamepadEffect,11,322,SDL_Gamepad int bool,Send a gamepad specific effect packet.
SDL_SendJoystickEffect,12,381,SDL_Joystick int bool,Send a joystick specific effect packet.
SDL_SendJoystickVirtualSensorData,12,350,SDL_Joystick SDL_SensorType Uint64 float int bool,Send a sensor update for an opened virtual joystick.
SDL_SetAppMetadata,0,7,char bool,Specify basic metadata about your app.
SDL_SetAppMetadataProperty,0,8,char bool,Specify metadata about your app through a set of properties.
SDL_SetAssertionHandler,44,1041,SDL_AssertionHandler,Set an application-defined assertion handler.
SDL_SetAtomicInt,21,649,SDL_AtomicInt int,Set an atomic variable to a value.
SDL_SetAtomicPointer,21,657,,Set a pointer to a value atomically.
SDL_SetAtomicU32,21,653,SDL_AtomicU32 Uint32,Set an atomic variable to a value.
SDL_SetAudioDeviceGain,14,431,SDL_AudioDeviceID float bool,Change the gain of an audio device.
SDL_SetAudioPostmixCallback,14,467,SDL_AudioDeviceID SDL_AudioPostmixCallback bool,Set a callback that fires when data is about to be fed to an audio device.
