name,group,order,types,description
MIX_SetMixerFrequencyRatio,0,69,MIX_Mixer float bool,Set a mixer's master frequency ratio.
MIX_SetMixerGain,0,64,MIX_Mixer float bool,Set a mixer's master gain control.
MIX_SetPostMixCallback,0,86,MIX_Mixer MIX_PostMixCallback bool,Set a callback that fires when all mixing has completed.
MIX_SetTagGain,0,68,MIX_Mixer char float bool,Set the gain control of all tracks with a specific tag.
MIX_SetTrack3DPosition,0,75,MIX_Track MIX_Point3D bool,Set a track's position in 3D space.
MIX_SetTrackAudio,0,28,MIX_Track MIX_Audio bool,Set a MIX_Track's input to a MIX_Audio.
MIX_SetTrackAudioStream,0,29,MIX_Track SDL_AudioStream bool,Set a MIX_Track's input to an SDL_AudioStream.
MIX_SetTrackCookedCallback,0,84,MIX_Track MIX_TrackMixCallback bool,Set a callback that fires when the mixer has transformed a track's audio.
MIX_SetTrackFrequencyRatio,0,71,MIX_Track float bool,Change the frequency ratio of a track.
MIX_SetTrackGain,0,66,MIX_Track float bool,Set a track's gain control.
MIX_SetTrackGroup,0,81,MIX_Track MIX_Group bool,Assign a track to a mixing group.
MIX_SetTrackIOStream,0,30,MIX_Track SDL_IOStream bool,Set a MIX_Track's input to an SDL_IOStream.
MIX_SetTrackLoops,0,40,MIX_Track int bool,Change the number of times a currently-playing track will loop.
MIX_SetTrackOutputChannelMap,0,73,MIX_Track int bool,Set the current output channel map of a track.
MIX_SetTrackPlaybackPosition,0,36,MIX_Track Sint64 bool,Seek a playing track to a new position in its input.
MIX_SetTrackRawCallback,0,83,MIX_Track MIX_TrackMixCallback bool,Set a callback that fires when a MIX_Track has initial decoded audio.
MIX_SetTrackRawIOStream,0,31,MIX_Track SDL_IOStream SDL_AudioSpec bool,Set a MIX_Track's input to an SDL_IOStream providing raw PCM data.
MIX_SetTrackStereo,0,74,MIX_Track MIX_StereoGains bool,"Force a track to stereo output, with optionally left/right panning."
MIX_SetTrackStoppedCallback,0,82,MIX_Track MIX_TrackStoppedCallback bool,Set a callback that fires when a MIX_Track is stopped.
MIX_StopAllTracks,0,54,MIX_Mixer Sint64 bool,"Halt all currently-playing tracks, possibly fading out over time."
MIX_StopTag,0,55,MIX_Mixer char Sint64 bool,"Halt all tracks with a specific tag, possibly fading out over time."
MIX_StopTrack,0,53,MIX_Track Sint64 bool,"Halt a currently-playing track, possibly fading out over time."
MIX_TagTrack,0,32,MIX_Track char bool,Assign an arbitrary tag to a track.
MIX_TrackFramesToMS,0,45,MIX_Track Sint64,Convert sample frames for a track's current format to milliseconds.
MIX_TrackMSToFrames,0,44,MIX_Track Sint64,Convert milliseconds to sample frames for a track's current format.
MIX_TrackPaused,0,63,MIX_Track bool,Query if a track is currently paused.
MIX_TrackPlaying,0,62,MIX_Track bool,Query if a track is currently playing.
MIX_UnlockMixer,0,11,MIX_Mixer,Unlock a mixer previously locked by a call to MIX_LockMixer().
MIX_UntagTrack,0,33,MIX_Track char,Remove an arbitrary tag from a track.
MIX_Version,0,0,int,Get the version of SDL_mixer that is linked against your program.
