name,group,order,types,description
IMG_SaveAVIF_IO,0,55,SDL_Surface SDL_IOStream bool int,"Save an SDL_Surface into AVIF image data, via an SDL_IOStream."
IMG_SaveAnimation,0,80,IMG_Animation char bool,Save an animation to a file.
IMG_SaveAnimationTyped_IO,0,81,IMG_Animation SDL_IOStream bool char,Save an animation to an SDL_IOStream.
IMG_SaveBMP,0,56,SDL_Surface char bool,Save an SDL_Surface into a BMP image file.
IMG_SaveBMP_IO,0,57,SDL_Surface SDL_IOStream bool,"Save an SDL_Surface into BMP image data, via an SDL_IOStream."
IMG_SaveCUR,0,58,SDL_Surface char bool,Save an SDL_Surface into a CUR image file.
IMG_SaveCUR_IO,0,59,SDL_Surface SDL_IOStream bool,"Save an SDL_Surface into CUR image data, via an SDL_IOStream."
IMG_SaveGIF,0,60,SDL_Surface char bool,Save an SDL_Surface into a GIF image file.
IMG_SaveGIFAnimation_IO,0,85,IMG_Animation SDL_IOStream bool,Save an animation in GIF format to an SDL_IOStream.
IMG_SaveGIF_IO,0,61,SDL_Surface SDL_IOStream bool,"Save an SDL_Surface into GIF image data, via an SDL_IOStream."
IMG_SaveICO,0,62,SDL_Surface char bool,Save an SDL_Surface into a ICO image file.
IMG_SaveICO_IO,0,63,SDL_Surface SDL_IOStream bool,"Save an SDL_Surface into ICO image data, via an SDL_IOStream."
IMG_SaveJPG,0,64,SDL_Surface char int bool,Save an SDL_Surface into a JPEG image file.
IMG_SaveJPG_IO,0,65,SDL_Surface SDL_IOStream bool int,"Save an SDL_Surface into JPEG image data, via an SDL_IOStream."
IMG_SavePNG,0,66,SDL_Surface char bool,Save an SDL_Surface into a PNG image file.
IMG_SavePNG_IO,0,67,SDL_Surface SDL_IOStream bool,"Save an SDL_Surface into PNG image data, via an SDL_IOStream."
IMG_SaveTGA,0,68,SDL_Surface char bool,Save an SDL_Surface into a TGA image file.
IMG_SaveTGA_IO,0,69,SDL_Surface SDL_IOStream bool,"Save an SDL_Surface into TGA image data, via an SDL_IOStream."
IMG_SaveTyped_IO,0,53,SDL_Surface SDL_IOStream bool char,"Save an SDL_Surface into formatted image data, via an SDL_IOStream."
IMG_SaveWEBP,0,70,SDL_Surface char float bool,Save an SDL_Surface into a WEBP image file.
IMG_SaveWEBPAnimation_IO,0,86,IMG_Animation SDL_IOStream bool int,Save an animation in WEBP format to an SDL_IOStream.
IMG_SaveWEBP_IO,0,71,SDL_Surface SDL_IOStream bool float,"Save an SDL_Surface into WEBP image data, via an SDL_IOStream."
IMG_Version,0,0,int,This function gets the version of the dynamically linked SDL_image library.
IMG_isANI,0,11,SDL_IOStream bool,Detect ANI animated cursor data on a readable/seekable SDL_IOStream.
IMG_isAVIF,0,12,SDL_IOStream bool,Detect AVIF image data on a readable/seekable SDL_IOStream.
