name,group,order,types,description
TTF_GetTextPosition,0,104,TTF_Text int bool,Get the position of a text object.
TTF_GetTextProperties,0,90,TTF_Text SDL_PropertiesID,Get the properties associated with a text object.
TTF_GetTextScript,0,98,TTF_Text Uint32,Get the script used for text shaping a text object.
TTF_GetTextSize,0,113,TTF_Text int bool,Get the size of a text object.
TTF_GetTextSubString,0,114,TTF_Text int TTF_SubString bool,Get the substring of a text object that surrounds a text offset.
TTF_GetTextSubStringForLine,0,115,TTF_Text int TTF_SubString bool,Get the substring of a text object that contains the given line.
TTF_GetTextSubStringForPoint,0,117,TTF_Text int TTF_SubString bool,Get the portion of a text string that is closest to a point.
TTF_GetTextSubStringsForRange,0,116,TTF_Text int TTF_SubString,Get the substrings of a text object that contain a range of text.
TTF_GetTextWrapWidth,0,106,TTF_Text int bool,Get whether wrapping is enabled on a text object.
TTF_Init,0,3,bool,Initialize SDL_ttf.
TTF_InsertTextString,0,110,TTF_Text int char size_t bool,Insert UTF-8 text into a text object.
TTF_MeasureString,0,57,TTF_Font char size_t int bool,Calculate how much of a UTF-8 string will fit in a given width.
TTF_OpenFont,0,4,char float TTF_Font,"Create a font from a file, using a specified point size."
TTF_OpenFontIO,0,5,SDL_IOStream bool float TTF_Font,"Create a font from an SDL_IOStream, using a specified point size."
TTF_OpenFontWithProperties,0,6,SDL_PropertiesID TTF_Font,Create a font with the specified properties.
TTF_Quit,0,123,,Deinitialize SDL_ttf.
TTF_RemoveFallbackFont,0,11,TTF_Font,Remove a fallback font.
TTF_RenderGlyph_Blended,0,66,TTF_Font Uint32 SDL_Color SDL_Surface,Render a single UNICODE codepoint at high quality to a new ARGB surface.
TTF_RenderGlyph_LCD,0,69,TTF_Font Uint32 SDL_Color SDL_Surface,Render a single UNICODE codepoint at LCD subpixel quality to a new ARGB surface.
TTF_RenderGlyph_Shaded,0,63,TTF_Font Uint32 SDL_Color SDL_Surface,Render a single UNICODE codepoint at high quality to a new 8-bit surface.
TTF_RenderGlyph_Solid,0,60,TTF_Font Uint32 SDL_Color SDL_Surface,Render a single 32-bit glyph at fast quality to a new 8-bit surface.
TTF_RenderText_Blended,0,64,TTF_Font char size_t SDL_Color SDL_Surface,Render UTF-8 text at high quality to a new ARGB surface.
TTF_RenderText_Blended_Wrapped,0,65,TTF_Font char size_t SDL_Color int SDL_Surface,Render word-wrapped UTF-8 text at high quality to a new ARGB surface.
TTF_RenderText_LCD,0,67,TTF_Font char size_t SDL_Color SDL_Surface,Render UTF-8 text at LCD subpixel quality to a new ARGB surface.
